Delivery_ID,Order_ID,Assigned_Rider_ID,Estimated_Delivery_Min,Actual_Delivery_Min,Restaurant_Prep_Min,Pickup_Delay_Min,Delivery_Delay_Min
D005689,O006089,RIDER2377,19,25,15,2.0,6
D005690,O006090,RIDER1302,26,24,27,0.3,0
D005691,O006091,RIDER0341,28,53,28,0.2,25
D005692,O006092,RIDER1416,36,65,15,5.4,29
D005693,O006094,RIDER0216,34,55,25,2.6,21
D005694,O006095,RIDER1004,33,65,14,1.1,32
D005695,O006096,RIDER2189,47,63,38,3.1,16
D005696,O006097,RIDER1624,48,60,15,1.2,12
D005697,O006098,RIDER1418,34,38,24,3.7,4
D005698,O006099,RIDER1815,32,56,33,2.2,24
D005699,O006100,RIDER1337,23,35,14,2.9,12
D005700,O006101,RIDER0366,34,30,23,2.2,0
D005701,O006102,RIDER1443,29,41,24,3.3,12
D005702,O006104,RIDER1118,34,35,39,0.0,1
D005703,O006105,RIDER1502,44,50,16,1.5,6
D005704,O006106,RIDER1880,37,39,31,6.6,2
D005705,O006107,RIDER0266,47,80,37,0.3,33
D005706,O006108,RIDER0675,35,34,25,7.6,0
D005707,O006109,RIDER0758,24,27,15,8.5,3
D005708,O006110,RIDER2003,26,22,34,2.6,0
D005709,O006111,RIDER1464,43,43,15,2.9,0
D005710,O006112,RIDER2096,40,44,42,3.0,4
D005711,O006113,RIDER2479,30,34,15,4.6,4
D005712,O006114,RIDER1078,24,25,14,3.0,1
D005713,O006115,RIDER1184,27,57,14,0.7,30
D005714,O006116,RIDER0626,28,32,34,3.4,4
D005715,O006117,RIDER1285,43,66,15,9.0,23
D005716,O006118,RIDER0676,38,34,35,5.2,0
D005717,O006119,RIDER1573,25,29,34,2.1,4
D005718,O006120,RIDER2126,38,55,27,1.1,17
D005719,O006121,RIDER0890,70,70,41,1.2,0
D005720,O006122,RIDER1581,41,47,21,5.6,6
D005721,O006124,RIDER0093,70,98,16,1.6,28
D005722,O006125,RIDER0942,20,22,18,2.8,2
D005723,O006126,RIDER2492,36,36,31,3.3,0
D005724,O006127,RIDER0897,33,30,21,1.5,0
D005725,O006128,RIDER0306,34,67,30,3.2,33
D005726,O006129,RIDER0108,36,36,40,1.1,0
D005727,O006130,RIDER2467,58,58,32,3.2,0
D005728,O006131,RIDER0523,18,42,21,2.6,24
D005729,O006132,RIDER2219,35,32,42,1.6,0
D005730,O006133,RIDER0565,34,59,39,2.3,25
D005731,O006135,RIDER0638,46,53,41,8.4,7
D005732,O006136,RIDER0518,42,44,35,1.6,2
D005733,O006137,RIDER1193,43,74,39,0.8,31
D005734,O006138,RIDER0976,40,74,15,3.8,34
D005735,O006139,RIDER1197,27,48,35,2.2,21
D005736,O006140,RIDER1804,20,47,25,1.7,27
D005737,O006141,RIDER1638,21,22,32,3.7,1
D005738,O006142,RIDER1075,28,23,37,0.5,0
D005739,O006143,RIDER1491,20,20,14,2.9,0
D005740,O006144,RIDER0953,39,52,31,1.1,13
D005741,O006145,RIDER1458,23,22,34,2.2,0
D005742,O006146,RIDER0709,40,71,37,0.8,31
D005743,O006147,RIDER0641,27,32,14,0.7,5
D005744,O006148,RIDER1495,45,69,24,2.1,24
D005745,O006149,RIDER1301,38,49,19,1.3,11
D005746,O006150,RIDER0451,42,42,36,0.9,0
D005747,O006151,RIDER1728,42,45,15,0.7,3
D005748,O006152,RIDER0081,23,24,40,2.1,1
D005749,O006153,RIDER2411,30,60,30,1.8,30
D005750,O006154,RIDER0886,24,28,19,0.6,4
D005751,O006155,RIDER1942,34,32,27,2.3,0
D005752,O006156,RIDER2230,34,39,38,2.1,5
D005753,O006157,RIDER1763,35,32,42,1.3,0
D005754,O006158,RIDER0323,32,29,24,0.5,0
D005755,O006159,RIDER2114,23,30,14,0.8,7
D005756,O006160,RIDER0110,26,32,33,1.3,6
D005757,O006161,RIDER2314,24,21,40,2.7,0
D005758,O006162,RIDER0155,31,37,24,2.2,6
D005759,O006163,RIDER0842,60,56,15,3.9,0
D005760,O006164,RIDER0238,30,25,17,4.4,0
D005761,O006166,RIDER0516,23,19,42,2.7,0
D005762,O006167,RIDER0255,27,41,31,2.8,14
D005763,O006168,RIDER0832,46,53,40,2.8,7
D005764,O006169,RIDER1442,27,57,40,4.7,30
D005765,O006170,RIDER0636,63,59,31,5.3,0
D005766,O006171,RIDER0351,33,63,23,8.8,30
D005767,O006172,RIDER0462,32,32,28,0.5,0
D005768,O006173,RIDER2155,31,34,24,1.1,3
D005769,O006174,RIDER1649,35,40,33,7.4,5
D005770,O006175,RIDER0405,26,29,38,2.2,3
D005771,O006176,RIDER1685,34,35,33,2.1,1
D005772,O006177,RIDER1109,44,48,21,4.9,4
D005773,O006178,RIDER1583,30,40,31,1.0,10
D005774,O006179,RIDER0942,24,23,29,1.4,0
D005775,O006181,RIDER2344,32,38,36,1.9,6
D005776,O006182,RIDER1149,34,29,18,0.6,0
D005777,O006183,RIDER1371,34,37,22,6.5,3
D005778,O006184,RIDER0987,28,62,32,8.7,34
D005779,O006185,RIDER1937,48,75,37,0.9,27
D005780,O006187,RIDER1556,55,55,42,1.4,0
D005781,O006188,RIDER1145,44,66,24,8.5,22
D005782,O006189,RIDER1472,24,27,17,1.1,3
D005783,O006190,RIDER2450,40,59,39,1.0,19
D005784,O006191,RIDER1440,28,31,21,7.1,3
D005785,O006192,RIDER0175,49,68,14,9.9,19
D005786,O006193,RIDER1597,27,27,40,2.0,0
D005787,O006195,RIDER1742,32,27,33,1.8,0
D005788,O006196,RIDER1691,35,59,27,1.9,24
D005789,O006197,RIDER0234,30,36,39,2.0,6
D005790,O006198,RIDER1632,36,39,22,2.5,3
D005791,O006199,RIDER1493,50,47,35,10.6,0
D005792,O006200,RIDER2040,29,37,14,0.8,8
D005793,O006202,RIDER1974,24,19,40,2.5,0
D005794,O006203,RIDER1596,23,35,21,2.2,12
D005795,O006204,RIDER1123,33,30,24,3.9,0
D005796,O006205,RIDER0612,54,76,17,2.7,22
D005797,O006206,RIDER1747,20,20,42,2.5,0
D005798,O006207,RIDER0829,44,45,15,3.9,1
D005799,O006208,RIDER1131,26,38,27,0.5,12
D005800,O006209,RIDER2162,23,25,19,2.5,2
D005801,O006210,RIDER0578,34,32,16,4.8,0
D005802,O006211,RIDER1601,25,31,23,1.0,6
D005803,O006212,RIDER2034,27,40,40,3.2,13
D005804,O006213,RIDER2242,28,23,31,1.2,0
D005805,O006214,RIDER0916,25,32,24,2.1,7
D005806,O006215,RIDER2446,26,27,27,2.9,1
D005807,O006216,RIDER2477,32,31,35,4.3,0
D005808,O006217,RIDER0200,33,28,21,6.7,0
D005809,O006219,RIDER0032,43,67,33,2.6,24
D005810,O006220,RIDER1260,42,44,31,12.1,2
D005811,O006221,RIDER1054,53,51,31,5.0,0
D005812,O006222,RIDER2395,32,39,25,0.5,7
D005813,O006223,RIDER1875,49,79,22,0.9,30
D005814,O006224,RIDER0703,37,55,33,4.9,18
D005815,O006225,RIDER1382,37,39,22,2.6,2
D005816,O006226,RIDER0847,26,22,24,5.9,0
D005817,O006227,RIDER1007,32,64,21,7.8,32
D005818,O006228,RIDER0577,54,58,25,1.6,4
D005819,O006229,RIDER0173,25,28,40,4.6,3
D005820,O006230,RIDER0692,36,49,40,12.5,13
D005821,O006231,RIDER0588,49,53,15,2.3,4
D005822,O006232,RIDER0416,36,39,37,7.5,3
D005823,O006234,RIDER0393,36,36,23,1.1,0
D005824,O006235,RIDER2039,30,28,34,4.8,0
D005825,O006236,RIDER0819,43,46,40,14.3,3
D005826,O006237,RIDER1970,36,59,29,7.5,23
D005827,O006238,RIDER1930,35,48,15,0.1,13
D005828,O006239,RIDER0950,24,24,17,4.6,0
D005829,O006240,RIDER2489,32,30,28,4.9,0
D005830,O006242,RIDER0067,55,53,29,4.1,0
D005831,O006243,RIDER1166,27,27,35,1.7,0
D005832,O006244,RIDER0571,30,33,15,9.3,3
D005833,O006245,RIDER2396,29,44,15,1.0,15
D005834,O006246,RIDER0651,29,40,38,3.5,11
D005835,O006247,RIDER1154,30,56,25,3.4,26
D005836,O006248,RIDER2307,41,40,31,1.7,0
D005837,O006249,RIDER1789,21,24,42,15.7,3
D005838,O006250,RIDER1630,24,30,22,3.4,6
D005839,O006251,RIDER0276,40,42,31,1.4,2
D005840,O006252,RIDER1969,36,31,33,4.3,0
D005841,O006253,RIDER2464,24,53,28,0.6,29
D005842,O006254,RIDER2323,43,60,34,0.2,17
D005843,O006255,RIDER0959,32,59,27,2.2,27
D005844,O006257,RIDER0858,30,33,23,2.7,3
D005845,O006258,RIDER2063,34,31,37,2.7,0
D005846,O006259,RIDER0859,39,41,34,1.4,2
D005847,O006260,RIDER1499,26,26,41,0.8,0
D005848,O006261,RIDER0347,35,35,15,4.9,0
D005849,O006262,RIDER1197,32,33,38,3.6,1
D005850,O006263,RIDER2281,32,31,37,3.3,0
D005851,O006264,RIDER1821,28,37,15,0.5,9
D005852,O006266,RIDER0466,19,16,23,2.1,0
D005853,O006267,RIDER1687,27,26,14,2.7,0
D005854,O006269,RIDER1464,32,30,23,3.0,0
D005855,O006270,RIDER1808,28,31,18,3.6,3
D005856,O006271,RIDER0821,29,33,33,1.6,4
D005857,O006272,RIDER1866,23,18,15,8.4,0
D005858,O006273,RIDER1699,25,27,33,0.5,2
D005859,O006274,RIDER1013,43,68,33,3.0,25
D005860,O006275,RIDER2261,38,59,25,3.6,21
D005861,O006276,RIDER0380,38,38,25,8.4,0
D005862,O006277,RIDER1877,32,65,30,0.9,33
D005863,O006278,RIDER0400,51,56,23,5.8,5
D005864,O006279,RIDER0020,63,84,39,3.8,21
D005865,O006280,RIDER0235,29,39,19,1.6,10
D005866,O006281,RIDER0192,41,41,21,5.3,0
D005867,O006282,RIDER0596,60,59,31,1.4,0
D005868,O006283,RIDER2142,17,14,33,1.2,0
D005869,O006284,RIDER1009,55,55,24,4.6,0
D005870,O006285,RIDER2210,35,39,24,10.3,4
D005871,O006286,RIDER2211,33,39,40,7.0,6
D005872,O006287,RIDER0964,60,63,31,4.9,3
D005873,O006288,RIDER1902,38,59,31,1.0,21
D005874,O006289,RIDER2391,29,40,14,2.0,11
D005875,O006290,RIDER1893,32,33,40,7.1,1
D005876,O006291,RIDER1921,37,69,39,4.4,32
D005877,O006292,RIDER1394,37,32,18,1.9,0
D005878,O006293,RIDER0479,33,56,29,3.6,23
D005879,O006294,RIDER1477,33,33,32,4.0,0
D005880,O006295,RIDER1294,33,33,30,0.3,0
D005881,O006297,RIDER1707,70,77,18,0.6,7
D005882,O006298,RIDER1889,30,32,15,3.6,2
D005883,O006299,RIDER0950,33,38,31,2.4,5
D005884,O006300,RIDER0448,19,20,28,5.7,1
D005885,O006301,RIDER0512,43,42,36,1.6,0
D005886,O006302,RIDER1225,28,33,15,4.8,5
D005887,O006303,RIDER1922,28,25,20,3.0,0
D005888,O006304,RIDER0836,39,53,18,5.9,14
D005889,O006305,RIDER1731,50,45,30,11.8,0
D005890,O006306,RIDER2020,48,49,36,1.1,1
D005891,O006307,RIDER0645,41,50,31,1.0,9
D005892,O006308,RIDER1330,29,55,18,0.1,26
D005893,O006309,RIDER1714,43,44,24,1.2,1
D005894,O006310,RIDER2226,22,26,38,2.5,4
D005895,O006311,RIDER2145,28,60,35,2.3,32
D005896,O006312,RIDER2385,48,45,25,1.6,0
D005897,O006313,RIDER1431,19,16,31,1.6,0
D005898,O006314,RIDER1624,24,21,25,6.8,0
D005899,O006315,RIDER0427,44,55,15,2.5,11
D005900,O006316,RIDER1947,34,43,42,0.9,9
D005901,O006317,RIDER1964,35,39,30,4.7,4
D005902,O006318,RIDER1271,35,30,40,4.5,0
D005903,O006319,RIDER0694,34,40,24,1.8,6
D005904,O006320,RIDER1528,24,29,20,1.9,5
D005905,O006321,RIDER2431,33,60,14,2.3,27
D005906,O006322,RIDER2404,28,27,29,6.2,0
D005907,O006323,RIDER2428,31,29,16,2.3,0
D005908,O006324,RIDER0573,30,33,40,8.3,3
D005909,O006325,RIDER2349,40,73,34,4.6,33
D005910,O006326,RIDER0942,30,31,21,1.6,1
D005911,O006327,RIDER0318,32,54,21,2.6,22
D005912,O006328,RIDER2291,19,20,34,1.7,1
D005913,O006329,RIDER1255,42,55,18,3.3,13
D005914,O006330,RIDER1101,35,41,42,0.8,6
D005915,O006334,RIDER2094,29,34,40,19.9,5
D005916,O006335,RIDER1900,28,35,23,2.9,7
D005917,O006336,RIDER1978,43,61,17,2.5,18
D005918,O006337,RIDER0211,29,27,19,0.2,0
D005919,O006338,RIDER2423,33,50,30,0.6,17
D005920,O006340,RIDER0394,42,52,33,1.7,10
D005921,O006341,RIDER1029,40,44,28,1.9,4
D005922,O006342,RIDER1920,22,53,25,6.9,31
D005923,O006344,RIDER2447,30,61,32,2.9,31
D005924,O006345,RIDER1266,23,26,31,6.2,3
D005925,O006346,RIDER1407,27,55,37,2.6,28
D005926,O006347,RIDER1824,41,45,33,0.6,4
D005927,O006348,RIDER2495,30,61,14,7.0,31
D005928,O006349,RIDER2349,44,46,29,2.6,2
D005929,O006351,RIDER0458,31,30,28,8.6,0
D005930,O006353,RIDER0402,25,29,22,0.5,4
D005931,O006354,RIDER0042,22,22,14,4.1,0
D005932,O006355,RIDER1931,32,66,24,0.3,34
D005933,O006356,RIDER2215,29,36,36,1.9,7
D005934,O006357,RIDER0274,33,34,36,0.7,1
D005935,O006358,RIDER2245,29,25,28,0.2,0
D005936,O006359,RIDER1441,27,23,25,1.8,0
D005937,O006360,RIDER1725,27,53,33,2.1,26
D005938,O006362,RIDER0698,29,44,14,1.0,15
D005939,O006363,RIDER1419,28,35,35,5.1,7
D005940,O006365,RIDER0894,35,65,18,6.9,30
D005941,O006366,RIDER1197,31,57,39,1.3,26
D005942,O006367,RIDER1578,26,39,24,1.0,13
D005943,O006368,RIDER1644,30,34,38,2.2,4
D005944,O006369,RIDER2038,31,37,36,4.1,6
D005945,O006370,RIDER1817,20,20,41,1.4,0
D005946,O006371,RIDER0115,27,39,31,1.4,12
D005947,O006372,RIDER1452,32,34,25,6.8,2
D005948,O006373,RIDER0556,47,48,33,5.2,1
D005949,O006375,RIDER1772,24,51,15,2.2,27
D005950,O006376,RIDER0745,24,25,32,2.5,1
D005951,O006377,RIDER0517,39,42,21,1.0,3
D005952,O006378,RIDER0939,27,51,19,4.1,24
D005953,O006379,RIDER1254,27,61,31,3.6,34
D005954,O006380,RIDER0288,26,26,21,2.2,0
D005955,O006381,RIDER0476,36,62,23,3.4,26
D005956,O006382,RIDER0744,28,38,22,1.3,10
D005957,O006383,RIDER1226,44,72,32,1.0,28
D005958,O006384,RIDER0250,31,38,40,2.3,7
D005959,O006385,RIDER2238,36,41,42,5.9,5
D005960,O006387,RIDER2264,27,25,15,5.5,0
D005961,O006388,RIDER1534,23,31,32,4.9,8
D005962,O006390,RIDER0668,35,43,15,0.9,8
D005963,O006392,RIDER0004,41,46,24,3.4,5
D005964,O006393,RIDER2460,25,27,35,4.1,2
D005965,O006394,RIDER0439,38,41,38,3.0,3
D005966,O006395,RIDER0652,18,19,14,3.2,1
D005967,O006396,RIDER2395,35,35,30,4.1,0
D005968,O006397,RIDER1274,28,33,14,8.7,5
D005969,O006398,RIDER0649,32,44,28,5.5,12
D005970,O006399,RIDER0919,29,49,42,4.3,20
D005971,O006400,RIDER2259,27,26,23,5.2,0
D005972,O006401,RIDER1985,31,27,16,1.4,0
D005973,O006402,RIDER0135,29,24,29,0.4,0
D005974,O006403,RIDER1442,63,82,39,4.4,19
D005975,O006404,RIDER2304,51,68,19,5.0,17
D005976,O006405,RIDER0425,25,53,14,3.1,28
D005977,O006406,RIDER1061,34,37,38,0.2,3
D005978,O006407,RIDER2326,25,24,34,1.4,0
D005979,O006408,RIDER0056,62,89,16,2.4,27
D005980,O006409,RIDER1567,41,39,21,2.3,0
D005981,O006410,RIDER1810,32,32,15,2.7,0
D005982,O006411,RIDER0937,23,19,38,10.0,0
D005983,O006412,RIDER1575,30,29,27,2.6,0
D005984,O006413,RIDER1554,27,26,18,7.5,0
D005985,O006414,RIDER0208,29,34,15,1.3,5
D005986,O006415,RIDER0221,48,49,37,4.7,1
D005987,O006416,RIDER2436,22,21,40,4.1,0
D005988,O006417,RIDER2248,25,38,31,4.5,13
D005989,O006418,RIDER0195,66,88,19,1.6,22
D005990,O006419,RIDER1439,43,39,24,1.4,0
D005991,O006420,RIDER2018,52,53,41,9.2,1
D005992,O006421,RIDER0184,49,45,32,4.4,0
D005993,O006422,RIDER2485,36,57,24,0.6,21
D005994,O006423,RIDER2000,29,36,36,6.7,7
D005995,O006425,RIDER2377,37,58,25,6.2,21
D005996,O006426,RIDER2130,34,31,16,1.9,0
D005997,O006427,RIDER1793,47,75,33,0.3,28
D005998,O006428,RIDER2081,32,66,37,1.0,34
D005999,O006429,RIDER2031,29,24,32,2.6,0
D006000,O006430,RIDER0857,32,42,37,3.1,10
D006001,O006431,RIDER1389,30,30,21,2.3,0
D006002,O006432,RIDER1097,33,56,42,1.9,23
D006003,O006434,RIDER0554,35,46,17,1.2,11
D006004,O006435,RIDER0051,27,25,29,5.5,0
D006005,O006436,RIDER0832,29,37,39,0.6,8
D006006,O006437,RIDER1326,33,31,24,2.3,0
D006007,O006438,RIDER0210,26,33,18,0.2,7
D006008,O006439,RIDER0451,29,55,18,0.2,26
D006009,O006440,RIDER0724,40,42,21,5.4,2
D006010,O006441,RIDER2030,40,42,22,3.1,2
D006011,O006443,RIDER0045,23,43,27,2.3,20
D006012,O006444,RIDER2313,25,22,28,2.7,0
D006013,O006445,RIDER0219,46,56,24,0.5,10
D006014,O006446,RIDER2274,25,56,27,2.5,31
D006015,O006447,RIDER1578,24,30,31,1.6,6
D006016,O006448,RIDER0686,30,42,34,6.3,12
D006017,O006449,RIDER1158,50,55,38,2.4,5
D006018,O006450,RIDER2307,53,58,16,1.3,5
D006019,O006451,RIDER2404,36,41,24,0.7,5
D006020,O006452,RIDER0630,23,30,29,3.8,7
D006021,O006453,RIDER1072,26,23,17,1.5,0
D006022,O006454,RIDER0278,36,31,31,2.9,0
D006023,O006455,RIDER0946,25,20,19,1.9,0
D006024,O006456,RIDER0175,30,30,14,1.4,0
D006025,O006457,RIDER2059,38,35,25,0.8,0
D006026,O006458,RIDER0220,32,63,16,6.1,31
D006027,O006459,RIDER0514,20,43,14,2.2,23
D006028,O006460,RIDER1390,39,34,16,2.3,0
D006029,O006461,RIDER0421,26,31,18,2.0,5
D006030,O006462,RIDER2043,53,48,42,2.1,0
D006031,O006464,RIDER1096,28,23,22,2.0,0
D006032,O006465,RIDER2333,42,75,21,2.6,33
D006033,O006466,RIDER0221,52,76,21,2.2,24
D006034,O006467,RIDER2199,27,25,28,3.4,0
D006035,O006469,RIDER0858,42,42,30,2.7,0
D006036,O006470,RIDER1656,22,26,28,1.7,4
D006037,O006471,RIDER0003,39,35,32,4.9,0
D006038,O006472,RIDER2134,34,40,25,1.7,6
D006039,O006473,RIDER0888,22,23,16,6.2,1
D006040,O006474,RIDER1697,28,51,14,1.7,23
D006041,O006475,RIDER1230,27,29,25,6.3,2
D006042,O006476,RIDER1939,26,22,41,1.8,0
D006043,O006477,RIDER1109,35,47,38,1.7,12
D006044,O006478,RIDER0201,22,23,22,0.7,1
D006045,O006479,RIDER1368,65,94,21,0.9,29
D006046,O006480,RIDER1075,22,18,14,1.4,0
D006047,O006481,RIDER1443,29,37,37,1.0,8
D006048,O006482,RIDER0398,28,28,19,1.0,0
D006049,O006484,RIDER1688,27,30,39,2.8,3
D006050,O006485,RIDER2113,42,38,33,5.6,0
D006051,O006486,RIDER1610,57,71,42,1.6,14
D006052,O006487,RIDER1977,42,41,22,0.3,0
D006053,O006488,RIDER1376,32,53,31,1.5,21
D006054,O006489,RIDER0242,22,40,29,0.7,18
D006055,O006490,RIDER2127,27,23,37,1.1,0
D006056,O006491,RIDER1353,30,30,32,3.3,0
D006057,O006492,RIDER0584,30,25,17,3.9,0
D006058,O006493,RIDER0260,24,23,19,10.7,0
D006059,O006494,RIDER1587,26,22,24,5.2,0
D006060,O006495,RIDER1159,27,49,21,5.9,22
D006061,O006496,RIDER1391,22,22,21,0.4,0
D006062,O006497,RIDER0087,30,25,37,7.3,0
D006063,O006498,RIDER1264,39,44,37,2.9,5
D006064,O006499,RIDER0827,36,37,18,4.7,1
D006065,O006500,RIDER0290,23,28,40,1.5,5
D006066,O006501,RIDER2195,32,37,20,1.2,5
D006067,O006502,RIDER1697,31,27,29,1.7,0
D006068,O006503,RIDER2085,33,28,27,0.9,0
D006069,O006504,RIDER1557,22,29,25,3.4,7
D006070,O006505,RIDER2499,31,29,29,0.3,0
D006071,O006506,RIDER1810,30,31,35,1.8,1
D006072,O006507,RIDER1745,25,27,38,9.0,2
D006073,O006508,RIDER0846,26,32,18,0.4,6
D006074,O006509,RIDER0022,22,49,30,1.0,27
D006075,O006510,RIDER0170,32,33,41,4.0,1
D006076,O006511,RIDER1615,21,43,16,0.1,22
D006077,O006512,RIDER0874,59,73,27,4.1,14
D006078,O006514,RIDER2158,49,74,18,5.3,25
D006079,O006516,RIDER0202,38,61,15,1.2,23
D006080,O006517,RIDER2055,25,27,31,5.3,2
D006081,O006518,RIDER0622,28,26,25,1.3,0
D006082,O006519,RIDER1482,27,29,24,0.8,2
D006083,O006520,RIDER1384,25,40,16,3.7,15
D006084,O006521,RIDER0174,31,37,15,3.2,6
D006085,O006522,RIDER2192,41,45,34,0.5,4
D006086,O006523,RIDER0020,32,39,25,1.8,7
D006087,O006524,RIDER0556,38,43,23,1.3,5
D006088,O006525,RIDER0857,18,44,37,3.2,26
D006089,O006526,RIDER1422,41,44,35,1.7,3
D006090,O006527,RIDER2440,31,29,36,3.2,0
D006091,O006528,RIDER0713,35,32,36,0.1,0
D006092,O006529,RIDER1994,28,23,16,1.8,0
D006093,O006530,RIDER0724,26,57,39,7.9,31
D006094,O006531,RIDER1987,38,48,15,1.5,10
D006095,O006532,RIDER0068,35,30,42,3.0,0
D006096,O006533,RIDER0929,30,40,42,3.1,10
D006097,O006534,RIDER0738,39,44,33,8.5,5
D006098,O006535,RIDER0841,22,42,19,0.8,20
D006099,O006537,RIDER0233,50,58,23,0.9,8
D006100,O006538,RIDER2301,24,21,23,1.0,0
D006101,O006539,RIDER1934,56,90,40,5.2,34
D006102,O006540,RIDER0702,37,45,28,4.8,8
D006103,O006541,RIDER0745,28,44,42,1.1,16
D006104,O006542,RIDER1888,27,38,31,1.9,11
D006105,O006543,RIDER2431,61,85,28,2.8,24
D006106,O006544,RIDER1625,36,34,35,1.7,0
D006107,O006545,RIDER0383,46,47,42,0.7,1
D006108,O006546,RIDER2489,31,28,22,0.6,0
D006109,O006547,RIDER1746,22,30,15,7.9,8
D006110,O006548,RIDER1601,25,24,22,0.3,0
D006111,O006549,RIDER0969,35,58,31,4.3,23
D006112,O006551,RIDER2075,26,22,24,4.8,0
D006113,O006553,RIDER2040,44,42,30,1.9,0
D006114,O006554,RIDER0438,46,43,15,3.2,0
D006115,O006555,RIDER2408,55,75,18,3.3,20
D006116,O006556,RIDER2126,30,28,28,7.8,0
D006117,O006557,RIDER0887,36,41,21,1.2,5
D006118,O006559,RIDER1821,46,49,14,5.5,3
D006119,O006560,RIDER1975,22,21,23,1.2,0
D006120,O006561,RIDER1834,35,38,40,6.1,3
D006121,O006562,RIDER1380,28,23,32,0.9,0
D006122,O006563,RIDER2187,28,23,24,1.8,0
D006123,O006564,RIDER1927,25,31,31,1.0,6
D006124,O006565,RIDER1501,58,84,24,2.6,26
D006125,O006566,RIDER1559,39,34,33,3.3,0
D006126,O006567,RIDER1769,44,54,16,6.2,10
D006127,O006568,RIDER2005,40,62,26,4.9,22
D006128,O006569,RIDER1405,70,70,18,2.0,0
D006129,O006570,RIDER0826,43,48,33,3.1,5
D006130,O006571,RIDER1998,21,24,21,1.7,3
D006131,O006572,RIDER0125,33,49,34,1.4,16
D006132,O006573,RIDER0880,61,82,21,10.4,21
D006133,O006576,RIDER1839,26,54,29,1.3,28
D006134,O006577,RIDER0867,38,46,24,0.4,8
D006135,O006578,RIDER0607,41,48,39,0.2,7
D006136,O006579,RIDER0966,19,19,31,4.6,0
D006137,O006580,RIDER1856,44,74,14,1.0,30
D006138,O006581,RIDER0806,37,32,33,2.3,0
D006139,O006582,RIDER0697,18,20,15,1.5,2
D006140,O006583,RIDER1391,42,46,22,0.3,4
D006141,O006584,RIDER2480,40,52,28,2.1,12
D006142,O006585,RIDER0411,24,23,22,2.5,0
D006143,O006588,RIDER0517,40,71,23,11.4,31
D006144,O006589,RIDER0804,22,31,27,5.7,9
D006145,O006590,RIDER0957,30,36,16,2.6,6
D006146,O006591,RIDER2443,44,58,32,3.8,14
D006147,O006592,RIDER0357,38,45,31,2.0,7
D006148,O006593,RIDER0966,25,20,15,0.6,0
D006149,O006594,RIDER1172,34,32,38,5.5,0
D006150,O006595,RIDER1472,38,46,26,0.2,8
D006151,O006596,RIDER0189,43,72,31,1.9,29
D006152,O006597,RIDER2152,28,26,37,4.1,0
D006153,O006598,RIDER1510,31,39,27,5.2,8
D006154,O006599,RIDER2185,28,29,24,0.5,1
D006155,O006600,RIDER1219,33,59,15,3.2,26
D006156,O006601,RIDER1527,20,22,14,9.7,2
D006157,O006602,RIDER0907,32,35,14,2.5,3
D006158,O006603,RIDER1090,43,71,22,1.2,28
D006159,O006604,RIDER2154,37,68,36,0.9,31
D006160,O006605,RIDER2252,24,24,25,3.1,0
D006161,O006606,RIDER0363,50,56,37,2.2,6
D006162,O006607,RIDER0897,22,26,19,4.0,4
D006163,O006608,RIDER0527,26,33,31,3.8,7
D006164,O006609,RIDER1026,26,38,21,1.5,12
D006165,O006610,RIDER1727,20,35,20,4.9,15
D006166,O006611,RIDER2378,26,23,27,1.9,0
D006167,O006612,RIDER2090,23,19,31,1.5,0
D006168,O006613,RIDER1356,34,31,31,3.2,0
D006169,O006614,RIDER0690,37,43,38,1.7,6
D006170,O006615,RIDER0211,70,95,38,1.3,25
D006171,O006616,RIDER1558,25,27,14,2.1,2
D006172,O006617,RIDER0855,40,39,14,3.1,0
D006173,O006618,RIDER1115,26,24,23,7.9,0
D006174,O006619,RIDER1147,28,46,14,3.0,18
D006175,O006620,RIDER0205,26,22,31,1.1,0
D006176,O006621,RIDER1131,56,76,27,2.3,20
D006177,O006622,RIDER1747,43,67,35,2.1,24
D006178,O006624,RIDER2309,26,46,39,3.1,20
D006179,O006625,RIDER1396,21,30,34,3.3,9
D006180,O006626,RIDER0597,30,28,42,4.1,0
D006181,O006627,RIDER0124,24,28,25,6.0,4
D006182,O006629,RIDER0708,35,31,31,0.7,0
D006183,O006631,RIDER1154,52,54,28,4.2,2
D006184,O006632,RIDER0631,52,55,40,1.6,3
D006185,O006633,RIDER1132,29,28,31,2.6,0
D006186,O006634,RIDER2189,35,46,39,5.2,11
D006187,O006635,RIDER0452,33,36,15,1.6,3
D006188,O006636,RIDER1500,30,33,41,6.4,3
D006189,O006637,RIDER2052,22,18,42,1.1,0
D006190,O006638,RIDER2041,45,46,38,3.8,1
D006191,O006639,RIDER0123,31,32,21,4.4,1
D006192,O006640,RIDER1526,26,21,19,2.5,0
D006193,O006641,RIDER1840,22,26,33,4.2,4
D006194,O006642,RIDER0262,29,25,31,5.0,0
D006195,O006643,RIDER1907,22,24,23,0.7,2
D006196,O006644,RIDER1572,36,37,38,5.3,1
D006197,O006645,RIDER1053,39,47,29,3.3,8
D006198,O006646,RIDER0257,20,21,20,2.6,1
D006199,O006647,RIDER0762,30,36,23,4.8,6
D006200,O006648,RIDER1083,32,38,14,2.9,6
D006201,O006649,RIDER1444,35,35,18,3.2,0
D006202,O006650,RIDER0486,36,44,25,2.3,8
D006203,O006651,RIDER0945,55,58,40,0.8,3
